sigma,node,theta,z_real,z_imag,base_depth,primal_depth,dual_depth,primal_rouche_ratio,dual_weighted_rouche_ratio,computed_primal_dual_rouche_ratio,deep_primal_residual_to_forcing,dual_residual_to_rhs,one_sided_resolvent_coefficient,primal_dual_resolvent_coefficient,one_sided_resolvent_budget,primal_dual_resolvent_budget,budget_gain_factor,primal_correction_reconstruction_defect,corrected_feshbach_smallest_singular,corrected_determinant_phase
0.01,15,2.945243112740431,-0.5808053593821276,-0.4996302799674465,36,52,44,6.495627652036422e-18,1.8319052597072244e-16,1.8561509028548806e-16,9.544190455056833e-16,5.5704708966228e-16,1.77067568621656e-15,8.242276479127879e-31,564756159348819.6,1.2132570443764228e+30,2148284749608297.5,3.41537371474735e-18,0.25698584859091034,2.562574396683325
0.01,15,2.945243112740431,-0.5808053593821276,-0.4996302799674465,36,52,52,6.495627652036422e-18,1.8319052597072244e-16,1.8561509028548806e-16,9.544190455056833e-16,5.570595976659777e-16,1.77067568621656e-15,8.242502980834856e-31,564756159348819.6,1.213223704407703e+30,2148225715336306.2,3.41537371474735e-18,0.25698584859091034,2.562574396683325
0.01,16,3.141592653589793,-0.5858491994363052,-0.5508412474453575,36,52,36,0.0,1.5163403307674663e-16,1.5163403307674663e-16,9.512914288302795e-16,4.875817998899371e-16,1.7469120066377824e-15,6.824664913684392e-31,572438678193450.2,1.4652734055775579e+30,2559703705210469.0,0.0,0.27518770992143166,2.7882007950939203
0.01,16,3.141592653589793,-0.5858491994363052,-0.5508412474453575,36,52,44,0.0,1.5163403307674663e-16,1.5163403307674663e-16,9.512914288302795e-16,4.875817998899371e-16,1.7469120066377824e-15,6.824664913684392e-31,572438678193450.2,1.4652734055775579e+30,2559703705210469.0,0.0,0.27518770992143166,2.7882007950939203
0.01,16,3.141592653589793,-0.5858491994363052,-0.5508412474453575,36,52,52,0.0,1.5163403307674663e-16,1.5163403307674663e-16,9.512914288302795e-16,4.875817998899371e-16,1.7469120066377824e-15,6.824664913684392e-31,572438678193450.2,1.4652734055775579e+30,2559703705210469.0,0.0,0.27518770992143166,2.7882007950939203
0.01,17,3.3379421944391554,-0.5808053593821276,-0.6020522149232683,36,52,36,0.0,1.8474981063354157e-16,1.8474981063354157e-16,8.826189738212299e-16,4.67681898420151e-16,1.5773718822361993e-15,5.631536748200849e-31,633965909537024.2,1.7757142405569448e+30,2800961713940931.0,0.0,0.2893620752496384,3.0260193545585747
0.01,17,3.3379421944391554,-0.5808053593821276,-0.6020522149232683,36,52,44,0.0,1.8474981063354157e-16,1.8474981063354157e-16,8.826189738212299e-16,4.67681898420151e-16,1.5773718822361993e-15,5.631536748200849e-31,633965909537024.2,1.7757142405569448e+30,2800961713940931.0,0.0,0.2893620752496384,3.0260193545585747
0.01,17,3.3379421944391554,-0.5808053593821276,-0.6020522149232683,36,52,52,0.0,1.8474981063354157e-16,1.8474981063354157e-16,8.826189738212299e-16,4.67681898420151e-16,1.5773718822361993e-15,5.631536748200849e-31,633965909537024.2,1.7757142405569448e+30,2800961713940931.0,0.0,0.2893620752496384,3.0260193545585747
0.01,18,3.5342917352885173,-0.5658676711642591,-0.6512951736404444,36,52,36,0.0,9.94820580812118e-17,9.94820580812118e-17,8.091796458634612e-16,4.909534821278368e-16,1.2945988276049556e-15,4.881904113544276e-31,772440063034838.6,2.0483810757888832e+30,2651831739204465.5,0.0,0.29941787841662687,-3.009821646848355
0.01,18,3.5342917352885173,-0.5658676711642591,-0.6512951736404444,36,52,44,0.0,9.94820580812118e-17,9.94820580812118e-17,8.091796458634612e-16,4.909534821278368e-16,1.2945988276049556e-15,4.881904113544276e-31,772440063034838.6,2.0483810757888832e+30,2651831739204465.5,0.0,0.29941787841662687,-3.009821646848355
0.01,18,3.5342917352885173,-0.5658676711642591,-0.6512951736404444,36,52,52,0.0,9.94820580812118e-17,9.94820580812118e-17,8.091796458634612e-16,4.909534821278368e-16,1.2945988276049556e-15,4.881904113544276e-31,772440063034838.6,2.0483810757888832e+30,2651831739204465.5,0.0,0.29941787841662687,-3.009821646848355
0.01,19,3.730641276137879,-0.54161018176376,-0.6966777443091541,36,52,36,0.0,1.3987129438393403e-16,1.3987129438393403e-16,8.1154334047137985e-16,4.288499569902474e-16,1.3499367963972e-15,4.37771618365772e-31,740775421981877.8,2.2842960988038935e+30,3083655357641950.0,0.0,0.3053030473332342,-2.7552652719314135
