sigma,scaled_coordinate,observed,conditioned_profile,unconditioned_profile,affine_profile
0.001,-0.9093759975322357,4.542840381433356e-34,1.9899550332317165e-33,1.9899550332320398e-33,2.466769303486828e-06
0.001,-0.9062878357547304,1.4704917053694385e-33,4.446611202045239e-33,4.446611202046119e-33,2.674642127910053e-06
0.001,-0.9031996739772216,4.679088335509957e-33,9.872639506413777e-33,9.872639506416158e-33,2.899234210357917e-06
0.001,-0.9001115121997126,1.4636567211782853e-32,2.1780613561403437e-32,2.1780613561409825e-32,3.1418206856106456e-06
0.001,-0.8970233504222037,4.5007405467004536e-32,4.77478800461615e-32,4.7747880046178515e-32,3.4037680958717188e-06
0.001,-0.8939351886446949,1.3604879794803905e-31,1.040158783676701e-31,1.0401587836771507e-31,3.6865404721808306e-06
0.001,-0.8908470268671895,4.0427218881690005e-31,2.2517549234980906e-31,2.2517549234992703e-31,3.991705784061716e-06
0.001,-0.8877588650896806,1.1809612352741456e-30,4.8443205057287695e-31,4.844320505731842e-31,4.3209427770188525e-06
0.001,-0.8846707033121717,3.3915373185342364e-30,1.0357362620193039e-30,1.035736262020098e-30,4.676048218344185e-06
0.001,-0.8815825415346629,9.575986177629975e-30,2.2008189624590082e-30,2.2008189624610464e-30,5.058944572585107e-06
0.001,-0.8784943797571539,2.658449379779638e-29,4.647854299685343e-30,4.647854299690536e-30,5.471688128915984e-06
0.001,-0.8754062179796486,7.25718850610255e-29,9.75591316162123e-30,9.755913161634362e-30,5.916477603586728e-06
0.001,-0.8723180562021396,1.9482355471197266e-28,2.0353763795181093e-29,2.0353763795214065e-29,6.395663241572707e-06
0.001,-0.8692298944246308,5.143839983594361e-28,4.2208219310399346e-29,4.2208219310481546e-29,6.9117564425107115e-06
0.001,-0.8661417326471219,1.3358194098409102e-27,8.700393629973404e-29,8.700393629993749e-29,7.4674399370157804e-06
0.001,-0.8630535708696131,3.4124535325077315e-27,1.7827251131596356e-28,1.7827251131646356e-28,8.065578540470498e-06
0.001,-0.8599654090921077,8.576157253283508e-27,3.6311774574688373e-28,3.6311774574810387e-28,8.709230512422277e-06
0.001,-0.8568772473145988,2.1207015087457583e-26,7.352620310844671e-28,7.352620310874237e-28,9.401659550777368e-06
0.001,-0.8537890855370899,5.160440409462055e-26,1.4800701761065931e-27,1.4800701761137071e-27,1.0146347451037916e-05
