index,diagonal_real,diagonal_imag,diagonal_real_hex,diagonal_imag_hex,exact_squared_margin_sign,classification,floating_signed_boundary_distance
115,7.143476146169405e-11,-4.5003632954812315e-11,0x1.3a2c642a99f80p-34,-0x1.8bdb2c1c09635p-35,1,outside,0.3762356041464502
116,7.143476146169405e-11,4.5003632954812225e-11,0x1.3a2c642a99f80p-34,0x1.8bdb2c1c09627p-35,1,outside,0.376235604224072
117,6.770970690212647e-11,-1.8259559883091913e-11,0x1.29ca5a4a1e1e4p-34,-0x1.4139bf40fdd4bp-36,1,outside,0.37623560416762847
118,6.770970690212708e-11,1.8259559883092103e-11,0x1.29ca5a4a1e213p-34,0x1.4139bf40fdd86p-36,1,outside,0.3762356041991223
119,-1.2987654214265038e-11,-4.9460466590151194e-11,-0x1.c8f663ad11782p-37,-0x1.b30f11c7a3642p-35,1,outside,0.376235604099869
120,-1.2987654214265088e-11,4.946046659015129e-11,-0x1.c8f663ad117a1p-37,0x1.b30f11c7a3651p-35,1,outside,0.3762356041851779
121,2.1912684196644426e-11,-3.982573749136895e-11,0x1.817df4d57f0e5p-36,-0x1.5e4f969866723p-35,1,outside,0.3762356041258458
122,2.1912684196644452e-11,3.982573749136889e-11,0x1.817df4d57f0edp-36,0x1.5e4f96986671ap-35,1,outside,0.3762356041945367
123,-3.947822173502165e-11,-1.8381196349661566e-11,-0x1.5b410d66a618fp-35,-0x1.435d8c8d4b00ap-36,1,outside,0.37623560411326107
124,-3.947822173502166e-11,1.8381196349661537e-11,-0x1.5b410d66a6190p-35,0x1.435d8c8d4b001p-36,1,outside,0.3762356041449648
125,2.3841546443329093e-11,-3.463099373920242e-26,0x1.a36cc798fc1dfp-36,-0x1.56f8000000000p-85,1,outside,0.37623560416116764
126,-2.2340329918960353e-11,6.048345602066978e-26,-0x1.8903e6c898c5ep-36,0x1.2b7fe3ab08000p-84,1,outside,0.3762356041377888
127,1.1016380257016776e-12,-2.1171698229585637e-11,0x1.361562b8d40aep-40,-0x1.7474da2d8d369p-36,1,outside,0.37623560413139756
128,1.1016380257014546e-12,2.117169822958538e-11,0x1.361562b8d3c5ep-40,0x1.7474da2d8d319p-36,1,outside,0.37623560416791435
