u,rank_by_modulus,real,imag,modulus,condition_number
1.415,3,5.8317782823724684e-05,-0.7263133687394596,0.7263133710807106,1.378965626226983
1.415,4,0.6259315838669336,0.0,0.6259315838669336,2.016396798506758
1.415,5,-0.3627877947650711,0.0,0.3627877947650711,3.784167257079172
1.415,6,-0.2469729043101738,0.0,0.2469729043101738,5.723083996363165
1.415,7,0.21542379082069116,0.022023733828549802,0.21654665664310707,16.01535207458987
1.415,8,0.21542379082069116,-0.022023733828549802,0.21654665664310707,16.01535207458987
1.415,9,-0.08413388545468103,0.0,0.08413388545468103,41.32900668557226
1.415,10,0.0516833643837294,0.0,0.0516833643837294,96.45691744518025
1.415,11,9.668196601858928e-05,0.04018275843997348,0.040182874750916135,207.93927061999366
1.415,12,9.668196601858928e-05,-0.04018275843997348,0.040182874750916135,207.93927061999366
1.4200000000000002,1,-0.9990288935580789,0.0,0.9990288935580789,1.2228821712255968
1.4200000000000002,2,6.438295272528927e-05,0.7264046217741935,0.7264046246273999,1.3974944657279538
1.4200000000000002,3,6.438295272528927e-05,-0.7264046217741935,0.7264046246273999,1.3974944657279538
1.4200000000000002,4,0.6225588205286626,0.0,0.6225588205286626,1.9882843460719728
1.4200000000000002,5,-0.35376709185973143,0.0,0.35376709185973143,3.8334678723609317
1.4200000000000002,6,-0.24538240562829913,0.0,0.24538240562829913,6.057953301539267
1.4200000000000002,7,0.20855586744770285,0.01905431988377974,0.2094244898599426,21.47993878971714
1.4200000000000002,8,0.20855586744770285,-0.01905431988377974,0.2094244898599426,21.47993878971714
1.4200000000000002,9,-0.07556535319629905,0.0,0.07556535319629905,58.27040726474536
1.4200000000000002,10,0.05367350390910431,0.0,0.05367350390910431,101.33575578867809
1.4200000000000002,11,-0.039722058878435,0.0,0.039722058878435,134.31840590645197
1.4200000000000002,12,0.00013281122939737006,0.038829845259653,0.038830072388694445,250.76588426114847
1.425,1,-0.9988187125281307,0.0,0.9988187125281307,1.2135278780780223
1.425,2,6.829866628065007e-05,0.7259897489618632,0.7259897521745172,1.4186862937822171
1.425,3,6.829866628065007e-05,-0.7259897489618632,0.7259897521745172,1.4186862937822171
1.425,4,0.6189189241935596,0.0,0.6189189241935596,1.9625510024487065
1.425,5,-0.3438345006282719,0.0,0.3438345006282719,3.9319144394703924
1.425,6,-0.24346901216506106,0.0,0.24346901216506106,6.460180337991265
1.425,7,0.2008285322520859,0.013510288263257245,0.20128245640264683,36.10198903319192
