sigma,z,finite_noise_bulk_det2_real,finite_noise_bulk_det2_imag,trace_truncation_real,trace_truncation_imag,trace_product_error,deterministic_centered_det2_length_28_real,deterministic_centered_det2_length_28_imag,noise_to_deterministic_truncation_error
0.015,0.5,1.104097440903334,-2.164140342217368e-19,1.1040974409033395,-1.2317313209874265e-18,5.551115215978224e-15,1.11062436476321,-0.0,0.006526923859875966
0.015,0.75,1.259727008205787,-1.4326720494940782e-17,1.2597270082058012,-2.5059886912298823e-18,1.4210859631502924e-14,1.3012577343323457,-0.0,0.041530726126558726
0.015,0.9,1.404191145620804,-1.2142211921664173e-17,1.4041911456208158,-3.52875071973547e-18,1.1768367213193926e-14,1.5357354817306164,-0.0,0.1315443361098123
0.015,1.0,1.5279408783256818,-2.168309860381013e-17,1.5279408783256934,-4.5924014728249216e-18,1.1546332104797585e-14,1.8217661079343055,-0.0,0.2938252296086237
0.015,1.1,1.6777179395126993,-3.1306615857194745e-17,1.6777179395127113,-6.433080139792258e-18,1.1990434465410688e-14,2.3902335093584,-0.0,0.7125155698457009
0.012,0.25,1.0247219745145528,1.6992563114491962e-18,1.024721974514565,2.5881022248873474e-20,1.2212453385521371e-14,1.025602254045864,-0.0,0.0008802795313112011
0.012,0.5,1.1053913661998707,-2.6164875847950665e-18,1.1053913661998842,-4.808240223219877e-19,1.354472106879726e-14,1.11062436476321,-0.0,0.005232998563339253
0.012,0.75,1.2661332357747903,1.7346729119655106e-17,1.2661332357748072,-3.4350956016661854e-18,1.6875402770571848e-14,1.3012577343323457,-0.0,0.035124498557555395
0.012,0.9,1.4190495380603878,-6.775462450342088e-21,1.4190495380603998,-8.270433699314734e-18,1.1990411513562696e-14,1.5357354817306164,-0.0,0.11668594367022855
0.012,1.0,1.5528365484485758,5.30587187226945e-18,1.5528365484485893,-1.390182468245499e-17,1.3544734519586144e-14,1.8217661079343055,-0.0,0.2689295594857297
0.012,1.1,1.7181067132084142,-5.4176657456225456e-18,1.7181067132084273,-2.2427907322400573e-17,1.3100642733868628e-14,2.3902335093584,-0.0,0.6721267961499859
0.01,0.25,1.0248391282516176,-4.838963883024818e-20,1.0248391282516338,5.786135517466733e-20,1.620925615987552e-14,1.025602254045864,-0.0,0.000763125794246422
0.01,0.5,1.1062627939199918,-7.969083769113505e-18,1.1062627939200054,6.75817512936264e-19,1.354472365922538e-14,1.11062436476321,-0.0,0.004361570843218088
0.01,0.75,1.2714021803852122,-1.0309632127612276e-17,1.2714021803852293,3.1953974055064063e-18,1.709743991294556e-14,1.3012577343323457,-0.0,0.029855553947133462
0.01,0.9,1.4325137450464553,-1.8877783472104277e-17,1.4325137450464804,6.572919433592491e-18,2.50910532642857e-14,1.5357354817306164,-0.0,0.10322173668416101
