component_period,original_period,boundary_clearance,multiplier,absolute_multiplier_over_lambda_k,two_step_inverse_jacobian_radius,one_step_cycle_radius,limiting_two_step_radius,limiting_one_step_radius,balancing_condition_number,condition_over_lambda_k,eigenvalue_condition_number
78,156,3.7395586390936714105e-36,-683231442062678926.3,1.9463429052009677142,0.59067922216045988368,0.76855658357759182212,0.59574394197655937353,0.77184450634603818079,1.4178109543043976e+17,0.40389626734617107,2766505245350992.5
79,158,1.3272099142906693208e-36,-1146854200138155844.5,1.9463429052009677149,0.59074306269466824941,0.76859811520369229267,0.59574394197655937353,0.77184450634603818079,2.379642719212132e+17,0.4038526190071698,4583995241067465.0
80,160,4.7104119137930242544e-37,-1925079080675369930.0,1.9463429052009677152,0.59080531385880296753,0.76863861069998491687,0.59574394197655937353,0.77184450634603818079,3.993984355739805e+17,0.4038100664181866,7596767005831654.0
81,162,1.6717762698044403416e-37,-3231386750301383106.6,1.9463429052009677154,0.59086603427607849304,0.76867810836271283331,0.59574394197655937353,0.77184450634603818079,6.703507383087653e+17,0.40376856882940637,1.2591678472987396e+16
82,164,5.9333152756713542533e-38,-5424120201004961091.8,1.9463429052009677156,0.59092527972168613026,0.76871664462380813617,0.59574394197655937353,0.77184450634603818079,1.1251201775379284e+18,0.40372808748664335,2.0874056953844736e+16
83,166,2.1057979345904419233e-38,-9104784486786074518.4,1.9463429052009677156,0.59098310329367044441,0.76875425416297401093,0.59574394197655937353,0.77184450634603818079,1.888412140035619e+18,0.403688585511059,3.4609620468722756e+16
84,168,7.4737052310499727168e-39,-15283050057677831638.0,1.9463429052009677157,0.59103955557164887307,0.76879097001177691581,0.59574394197655937353,0.77184450634603818079,3.169535832541508e+18,0.4036500277867146,5.739207403686334e+16
85,170,2.6524990343618724319e-39,-25653722985368050921.0,1.9463429052009677157,0.5910946847643717361,0.76882682365040551185,0.59574394197655937353,0.77184450634603818079,5.319802684459147e+18,0.4036123808568355,9.518544548389915e+16
86,172,9.4140067206025205882e-40,-43061659847104988615.0,1.9463429052009677157,0.5911485368470274424,0.76886184509769207457,0.59574394197655937353,0.77184450634603818079,8.928866396401365e+18,0.40357561282653354,1.5788875811237286e+17
87,174,3.3411330744129795834e-40,-72282161534425351762.0,1.9463429052009677157,0.59120115568911481268,0.76889606299493744558,0.59574394197655937353,0.77184450634603818079,1.4986424651474123e+19,0.40353969327319505,2.6193434603871738e+17
88,176,1.1858043606985928968e-40,-1.213309216281874077e+20,1.9463429052009677157,0.59125258317363000293,0.76892950468403148857,0.59574394197655937353,0.77184450634603818079,2.5153627368923566e+19,0.40350459316217313,4.346031414198128e+17
89,178,4.208548269508388205e-41,-2.0366287104093018705e+20,1.9463429052009677158,0.59130285930824857685,0.76896219628031687579,0.59574394197655937353,0.77184450634603818079,4.221862260554595e+19,0.4034702847685351,7.211923116961868e+17
90,180,1.493659420036830557e-41,-3.4186310038708487999e+20,1.9463429052009677158,0.59135202232912300808,0.76899416274060429833,0.59574394197655937353,0.77184450634603818079,7.086116990297003e+19,0.4034367416042322,1.196921915007057e+18
91,182,5.301159260139298007e-42,-5.7384234450265900319e+20,1.9463429052009677158,0.5914001087978615638,0.76902542792671138294,0.59574394197655937353,0.77184450634603818079,1.1893601129875382e+20,0.4034039383497587,1.9867159820717396e+18
92,184,1.8814389093243013197e-42,-9.6323655864424698012e+20,1.9463429052009677158,0.59144715369220548779,0.76905601466486528467,0.59574394197655937353,0.77184450634603818079,1.9962695800983863e+20,0.40337185079039517,3.298069196711659e+18
93,186,6.6774307199863322802e-43,-1.6168633716163701594e+21,1.9463429052009677158,0.59149319049087709534,0.76908594480127973233,0.59574394197655937353,0.77184450634603818079,3.350624432422904e+20,0.40334045575662114,5.475661184371016e+18
94,188,2.3698925752646691437e-43,-2.7140240255770634135e+21,1.9463429052009677158,0.59153825125303131364,0.76911523925419090193,0.59574394197655937353,0.77184450634603818079,5.623840983743672e+20,0.4033097310684482,9.092117761602945e+18
95,190,8.4110057502866932465e-44,-4.5556888359996980277e+21,1.9463429052009677158,0.59158236669270690596,0.76914391806261258765,0.59574394197655937353,0.77184450634603818079,9.439326540864892e+20,0.4032796554827915,1.5098858235945265e+19
96,192,2.9851571531023945131e-44,-7.6470586018631304387e+21,1.9463429052009677158,0.59162556624864071367,0.76917200043204947235,0.59574394197655937353,0.77184450634603818079,1.5843446540084267e+21,0.40325020864506983,2.507683139249622e+19
97,194,1.0594646458795550671e-44,-1.2836150001780492862e+22,1.9463429052009677158,0.59166787814977838778,0.76919950477738763803,0.59574394197655937353,0.77184450634603818079,2.659248783345829e+21,0.4032213710428382,4.165332445061169e+19
98,196,3.7601549208293527196e-45,-2.1546421368873196997e+22,1.9463429052009677158,0.59170932947678795294,0.76922644876316359858,0.59574394197655937353,0.77184450634603818079,4.4634318643013107e+21,0.403193123962613,6.919490663807358e+19
99,198,1.3345197580330167286e-45,-3.6167252154317299033e+22,1.9463429052009677158,0.59174994621985787557,0.76925284934139689904,0.59574394197655937353,0.77184450634603818079,7.491684240834209e+21,0.4031654494496335,1.1495955098417406e+20
100,200,4.7363553419434393911e-46,-6.0709391411218689657e+22,1.9463429052009677158,0.59178975333303884969,0.76927872278715654706,0.59574394197655937353,0.77184450634603818079,1.2574496826754662e+22,0.40313833026999074,1.9101238001549138e+20
