parent_arc,start_numerator,end_numerator,turn_denominator,theta_midpoint,center_id,stored_complement_inverse_upper,projected_feshbach_inverse_upper,stored_feshbach_computed_ratio_upper,stored_feshbach_remainder_coefficient_upper,stored_feshbach_full_ratio_upper,stored_feshbach_inverse_upper,complement_neumann_product_upper,corrected_complement_inverse_upper,corrected_feshbach_difference_upper,feshbach_rouche_product_upper,complement_homotopy_denominator_lower,feshbach_homotopy_denominator_lower,complement_homotopy_certified,feshbach_homotopy_certified
76,517,518,8192,0.39691752886540965,arc_00086,505.297144115169,190.69051575440852,4.311611380722175e-07,2.245560996677453e-17,4.3116114941897314e-07,190.69059797278595,2.376450146411223e-12,505.29714411636985,2.1258348856199396e-09,4.053767255302752e-07,0.9999999999976235,0.9999995946232744,True,True
77,518,519,8192,0.3976845192593525,arc_00086,458.63854556206866,194.49771740769108,4.4267481803374837e-07,2.3091334660943866e-17,4.4267482862432456e-07,194.49780350697296,2.1570112783031833e-12,458.638545563058,1.7516778336100877e-09,3.4069749108901483e-07,0.9999999999978428,0.9999996593025088,True,True
78,519,520,8192,0.3984515096532953,arc_00086,419.86830357616856,198.46970642791266,4.54720587418139e-07,2.375682294762231e-17,4.54720597392876e-07,198.4697966762172,1.9746719393284294e-12,419.86830357699773,1.4683060668553574e-09,2.914144065472389e-07,0.9999999999980252,0.9999997085855934,True,True
79,520,521,8192,0.39921850004723813,arc_00086,387.1418745324156,202.61738473676675,4.6733429491783024e-07,2.4454085825386348e-17,4.6733430438503093e-07,202.61747942686557,1.820757103279372e-12,387.1418745331206,1.2485558768416645e-09,2.5297924468925807e-07,0.9999999999981791,0.9999997470207552,True,True
80,521,522,8192,0.3999854904411809,arc_00086,359.14821425806815,206.95263286045977,4.805550246367705e-07,2.5185315908831613e-17,4.805550336820318e-07,206.95273231263704,1.6891008316531932e-12,359.14821425867484,1.0747126845413616e-09,2.2241472651688392e-07,0.9999999999983108,0.9999997775852734,True,True
81,522,523,8192,0.40075248083512377,arc_00086,334.9299035413275,211.4884222653421,4.944254678447978e-07,2.595290829801575e-17,4.94425476537203e-07,211.4885268306578,1.575200310506545e-12,334.92990354185514,9.348244421203203e-10,1.9770464410931806e-07,0.9999999999984247,0.9999998022953558,True,True
82,523,524,8192,0.40151947122906656,arc_00086,313.77145195061246,216.23894356133442,5.089923472182471e-07,2.675948439406137e-17,5.089923556146096e-07,216.23905362535973,1.4756905349889356e-12,313.77145195107556,8.205901803697708e-10,1.7744364401742245e-07,0.9999999999985242,0.9999998225563559,True,True
83,524,525,8192,0.4022864616230094,arc_00086,295.12742258426914,221.2197532506367,5.243069024218794e-07,2.760791915795934e-17,5.243069105697336e-07,221.21986923774293,1.3880062746812161e-12,295.1274225846788,7.260989921575882e-10,1.6062752409875856e-07,0.9999999999986119,0.9999998393724758,True,True
84,525,526,8192,0.4030534520169522,arc_00086,278.57474398100254,226.44794223443873,5.404254476516243e-07,2.8501372408597997e-17,5.404254555913869e-07,226.44806461273726,1.310157792954462e-12,278.5747439813676,6.470493707955688e-10,1.4652307772554593e-07,0.9999999999986897,0.9999998534769222,True,True
85,526,527,8192,0.40382044241089504,arc_00086,263.78021757133484,231.94232993247525,5.574100138888351e-07,2.944332487573604e-17,5.574100216554019e-07,231.94245921952648,1.2405780320913645e-12,263.78021757166215,5.802506170242321e-10,1.3458475507624802e-07,0.9999999999987593,0.9999998654152448,True,True
86,527,528,8192,0.40458743280483783,arc_00086,250.47785657421096,237.72368868452892,5.753290912982409e-07,3.0437619874048346e-17,5.753290989221908e-07,237.72382545396323,1.1780160364272356e-12,250.47785657450606,5.232955757488005e-10,1.2439982611013904e-07,0.9999999999988218,0.9999998756001738,True,True
