x,h,shifted_upper_exclusive,theta,y,series,cell,side,bin_index,alpha_lo,alpha_hi,count
100000000,10,200000010,0.46000000000000002,6583,SP_left,SP,left,23,0.28749999999999998,0.29999999999999999,0
100000000,10,200000010,0.46000000000000002,6583,SP_left,SP,left,24,0.29999999999999999,0.3125,0
100000000,10,200000010,0.46000000000000002,6583,SP_left,SP,left,25,0.3125,0.32500000000000001,0
100000000,10,200000010,0.46000000000000002,6583,SP_left,SP,left,26,0.32500000000000001,0.33750000000000002,0
100000000,10,200000010,0.46000000000000002,6583,SP_left,SP,left,27,0.33750000000000002,0.34999999999999998,0
100000000,10,200000010,0.46000000000000002,6583,SP_left,SP,left,28,0.34999999999999998,0.36249999999999999,0
100000000,10,200000010,0.46000000000000002,6583,SP_left,SP,left,29,0.36249999999999999,0.375,0
100000000,10,200000010,0.46000000000000002,6583,SP_left,SP,left,30,0.375,0.38750000000000001,0
100000000,10,200000010,0.46000000000000002,6583,SP_left,SP,left,31,0.38750000000000001,0.40000000000000002,0
100000000,10,200000010,0.46000000000000002,6583,SP_left,SP,left,32,0.40000000000000002,0.41249999999999998,0
100000000,10,200000010,0.46000000000000002,6583,SP_left,SP,left,33,0.41249999999999998,0.42499999999999999,0
100000000,10,200000010,0.46000000000000002,6583,SP_left,SP,left,34,0.42499999999999999,0.4375,0
100000000,10,200000010,0.46000000000000002,6583,SP_left,SP,left,35,0.4375,0.45000000000000001,0
100000000,10,200000010,0.46000000000000002,6583,SP_left,SP,left,36,0.45000000000000001,0.46250000000000002,4905
100000000,10,200000010,0.46000000000000002,6583,SP_left,SP,left,37,0.46250000000000002,0.47499999999999998,25050
100000000,10,200000010,0.46000000000000002,6583,SP_left,SP,left,38,0.47499999999999998,0.48749999999999999,23650
100000000,10,200000010,0.46000000000000002,6583,SP_left,SP,left,39,0.48749999999999999,0.5,9996
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,0,0,0.012500000000000001,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,1,0.012500000000000001,0.025000000000000001,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,2,0.025000000000000001,0.037499999999999999,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,3,0.037499999999999999,0.050000000000000003,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,4,0.050000000000000003,0.0625,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,5,0.0625,0.074999999999999997,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,6,0.074999999999999997,0.087499999999999994,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,7,0.087499999999999994,0.10000000000000001,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,8,0.10000000000000001,0.1125,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,9,0.1125,0.125,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,10,0.125,0.13750000000000001,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,11,0.13750000000000001,0.14999999999999999,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,12,0.14999999999999999,0.16250000000000001,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,13,0.16250000000000001,0.17499999999999999,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,14,0.17499999999999999,0.1875,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,15,0.1875,0.20000000000000001,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,16,0.20000000000000001,0.21249999999999999,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,17,0.21249999999999999,0.22500000000000001,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,18,0.22500000000000001,0.23749999999999999,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,19,0.23749999999999999,0.25,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,20,0.25,0.26250000000000001,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,21,0.26250000000000001,0.27500000000000002,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,22,0.27500000000000002,0.28749999999999998,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,23,0.28749999999999998,0.29999999999999999,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,24,0.29999999999999999,0.3125,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,25,0.3125,0.32500000000000001,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,26,0.32500000000000001,0.33750000000000002,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,27,0.33750000000000002,0.34999999999999998,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,28,0.34999999999999998,0.36249999999999999,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,29,0.36249999999999999,0.375,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,30,0.375,0.38750000000000001,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,31,0.38750000000000001,0.40000000000000002,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,32,0.40000000000000002,0.41249999999999998,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,33,0.41249999999999998,0.42499999999999999,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,34,0.42499999999999999,0.4375,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,35,0.4375,0.45000000000000001,0
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,36,0.45000000000000001,0.46250000000000002,584
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,37,0.46250000000000002,0.47499999999999998,3081
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,38,0.47499999999999998,0.48749999999999999,3078
100000000,10,200000010,0.46000000000000002,6583,SS_left,SS,left,39,0.48749999999999999,0.5,1409
100000000,10,200000010,0.46000000000000002,6583,SS_right,SS,right,0,0,0.012500000000000001,0
100000000,10,200000010,0.46000000000000002,6583,SS_right,SS,right,1,0.012500000000000001,0.025000000000000001,0
100000000,10,200000010,0.46000000000000002,6583,SS_right,SS,right,2,0.025000000000000001,0.037499999999999999,0
100000000,10,200000010,0.46000000000000002,6583,SS_right,SS,right,3,0.037499999999999999,0.050000000000000003,0
